date;open;high;low;close;volume
20001109;39,19;39,2;38,45;39,05;310419
20001108;38,78;39,36;38,41;38,95;446954
20001107;38,98;39;37,6;38,34;421258
20001106;38,95;39,05;38,32;38,99;245471
20001103;38,6;39,17;38;38,85;204992
20001102;38,37;38,77;37,67;38,33;471059
20001101;38,79;38,79;37,83;38,17;307431
20001031;37,45;39,36;36,86;38,39;654309
20001030;37,9;37,9;36,57;37,39;211012
20001027;37,7;37,98;37,18;37,75;467884
20001026;36,3;37,79;35,87;37,2;440385
20001025;35,99;37,34;35,87;35,97;435964
20001024;36,6;37;36,1;36,57;503865
20001023;35,4;36,2;34,78;35,85;297781
20001020;35,25;35,5;34,23;35,14;361065
20001019;35,19;36,28;34,8;35,37;558041
20001018;34,46;35,43;34;34,85;437545
20001017;33,7;35,16;33,7;34,9;512399
20001016;33,7;34,31;33,26;33,85;393142
20001013;32,6;33,9;32,5;33,7;473409
20001012;33,93;34,14;32,35;32,93;531135
20001011;34,1;34,85;32,4;33,35;628517
20001010;33,5;34,68;33,5;34,25;479616
20001009;33,8;33,95;33,12;33,55;291567
20001006;34;34,75;33,4;33,65;447121
20001005;33,55;34,84;33,51;34,1;387183
20001004;35,25;35,3;33,38;33,68;549450
20001002;35,34;35,34;34,4;34,7;253740
20000929;34,9;35,36;34,7;34,88;331032
20000928;34;35,38;33,32;34,98;649467
20000927;33,05;34,6;33,01;34;441247
20000926;33,46;33,93;33;33,35;387748
20000925;33,53;34,13;32,72;33,94;581909
20000922;33,57;34,75;33,33;34,16;508659
20000921;35,55;36;33,38;34,24;821968
20000920;36,5;36,5;35,36;35,65;463963
20000919;36,5;37,1;36,1;36,47;381993
20000918;38,08;38,08;36,65;36,78;381290
20000915;37,77;38,19;37,5;37,7;679302
20000914;38,41;38,97;37,2;37,99;549508
20000913;39,3;39,35;38,28;38,76;379932
20000912;39,77;39,77;38,5;39,25;431459
20000911;38,7;39,9;38,22;39,24;357342
20000908;39,35;39,5;38,28;38,7;234491
20000907;38,93;39,6;38,93;39,37;351945
20000906;38,55;39,3;38,55;38,93;375320
20000905;38,92;39,15;38,39;38,8;276222
20000904;38,21;39,15;37,85;38,55;498782
20000901;37,51;38,38;37,4;37,62;330318
20000831;37,7;38,4;36,89;37,9;374378
20000830;37,99;38,6;37,84;37,85;657776
20000829;37,8;38,15;37,35;37,7;319299
20000828;37,9;38,24;37,6;37,7;385912
20000825;36,45;37,89;36,13;37,48;398553
20000824;36,99;37,88;36,03;36,75;415752
20000823;37,95;37,95;36,33;37,22;495522
20000822;36,65;37,9;36,4;37,9;405582
20000821;37,15;37,15;35,3;36,45;311554
20000818;37,5;37,8;36,54;36,64;347333
20000817;38,15;38,15;37,06;37,2;407031
20000816;37,19;38,28;37,1;37,6;453057
20000815;37,01;37,55;36,78;37;614427
20000814;35,51;36,75;35,51;36,46;741218
20000811;35,2;35,4;34,83;35,27;506560
20000810;36,06;36,06;34,53;34,9;340974
20000809;35,3;36,04;35,15;35,78;830681
20000808;34,27;35,47;34,27;34,85;393433
20000807;34,57;35;34,15;34,4;517577
20000804;34,85;34,85;33,86;34,17;357618
20000803;34,3;34,91;34,1;34,55;799055
20000802;32,5;34,35;32,36;33,93;1379444
20000801;31,91;32,5;31,2;32,5;632258
20000731;31,2;32,2;31,2;31,8;442277
20000728;30,69;31,88;30,33;30,7;441045
20000727;30,5;31,17;30,1;30,32;718443
20000726;31,2;31,2;30,52;30,52;393395
20000725;31,9;32;30,88;31;480373
20000724;31,65;32;31,45;31,7;646737
20000721;32,57;32,9;30,55;31,7;947966
20000720;31,12;33,2;31,12;32,4;1120347
20000719;31,1;31,67;30,95;31,11;556788
20000718;31;31,76;30,8;30,8;613291
20000717;31,22;31,68;30,81;30,92;456902
20000714;31,5;31,5;30,9;31,25;577799
20000713;32,8;33,39;31,2;31,5;1111403
20000712;33;33,09;32,55;32,58;380551
20000711;33,3;33,75;32,5;32,68;526019
20000710;34,58;34,58;33,15;33,6;354923
20000707;34,55;34,55;33,15;34,55;412510
20000706;33,67;34,64;32,55;34,56;611999
20000705;34,65;34,98;33,75;34;337253
20000704;34,5;35,23;33,17;34,76;456203
20000703;33,26;34,69;33,22;34,46;358224
20000630;33,65;33,9;33,1;33,85;382940
20000629;35,2;35,2;33,51;33,64;426978
20000628;35,23;36,17;34,05;34,51;534203
20000627;35,5;35,69;35;35,23;283128
20000626;35,49;35,85;34,76;35,45;424061
20000623;36,24;36,24;35,02;35,02;417009
20000622;36,6;36,6;35,34;35,4;219699
20000621;37,31;37,31;35,5;36,46;584996
20000620;37,72;38;37,27;37,3;395038
20000619;37,5;38,65;37,5;37,65;313221
20000616;39,16;39,5;37,12;37,12;3670508
20000615;39,15;39,25;38,74;38,9;243022
20000614;38,52;39,25;38,05;39,25;340363
20000613;38;38,6;38;38,52;250338
20000612;38,44;38,44;37,85;38;73239
20000609;38,5;38,98;38;38;317332
20000608;38,9;39,5;38;38,1;464429
20000607;38,7;38,79;37,85;38,24;322704
20000606;38,6;39,08;38,16;38,56;382864
20000605;38,2;38,3;37,75;38,18;210548
20000602;37,85;38,51;37,5;37,91;306273
20000601;38,17;38,7;37,1;37,5;239240
20000531;38,55;38,79;37,55;37,85;271567
20000530;38,6;39,15;38,16;38,26;639294
20000529;37,09;38,22;37;37,87;278854
20000526;37,4;37,99;36,35;36,5;649807
20000525;38,6;39,08;37,4;37,75;405835
20000524;38,2;39;38;38,1;284599
20000523;37,89;38,44;37,5;38,2;474382
20000522;37,26;38,45;37;37,7;400629
20000519;38,65;38,65;37,2;37,7;670518
20000518;38,65;39,3;37,61;38,29;928279
20000517;39;39;37,81;38,18;1137518
20000516;41,6;41,76;37,91;38,6;2446517
20000515;43,49;43,95;39,36;40,99;1608242
20000512;44,97;44,97;42,8;43,5;369778
20000511;44,35;45,2;44;44,65;385456
20000510;44,62;45,04;44,38;44,8;298257
20000509;45,25;45,25;44,5;45,07;175225
20000508;45,3;45,41;44,55;45,01;211675
20000505;46,17;46,17;44,6;45,6;229566
20000504;44,42;45,75;43,55;45,45;232853
20000503;44,47;45,15;44,01;44,7;163695
20000502;45,8;46;44,43;44,67;210115
20000428;44,87;45,7;44,5;45,21;318908
20000427;43,8;44,85;43,61;44,56;279839
20000426;44;44,23;43,26;43,66;221885
20000425;43,4;44,05;42,36;43,61;263494
20000420;42,6;43,69;42,6;42,9;359994
20000419;44,78;44,78;42,65;42,7;344923
20000418;44;44,6;42,44;44,1;503044
20000417;42,1;44,85;41,78;43,68;482329
20000414;43,7;44,7;42,5;43,38;420144
20000413;43,2;45,15;43,2;43,7;498773
20000412;45,5;46,6;43,65;44;818856
20000411;44,9;46,27;44,9;45,65;303811
20000410;44,85;45,6;44,43;45;430692
20000407;46,65;46,65;44,32;44,85;515599
20000406;46,5;47,2;44,51;45,65;411834
20000405;47,95;48,55;46,1;46,7;741496
20000404;48,94;49,99;47,7;48,31;543843
20000403;48,59;48,84;47,1;48,5;333146
20000331;49,75;50;47,99;47,99;316439
20000330;47,35;49,69;47;49;613347
20000329;47,7;48,1;47,28;47,35;354742
20000328;47;48,78;46,63;48,17;296294
20000327;48,38;48,89;47,4;47,5;374671
20000324;48,25;49;47,15;47,78;298509
20000323;48,6;48,65;47,51;47,93;255131
20000322;47,95;48,5;47,2;48,5;318351
20000321;46,95;47,7;46,75;47,4;274883
20000320;47,1;47,49;45,81;46,95;268060
20000317;48,3;48,75;45,8;46,96;7031178
20000316;46,55;48,35;46,55;47,51;742458
20000315;45,5;46,9;43,3;46,25;457412
20000314;45,25;47;44,92;45,74;536061
20000313;43,5;45,14;42,9;44,1;580608
20000310;43,3;44,87;42,75;42,75;471448
20000309;43,15;44,09;42,2;42,28;538402
20000308;43,5;45,1;42,9;42,9;532335
20000307;44,95;44,95;41,86;42,46;589877
20000306;46,25;46,5;44,8;44,99;361555
20000303;47,53;47,53;45,6;45,6;587116
20000302;48,45;48,8;47,13;48,5;269519
20000301;47,71;48,45;46,1;48,45;589875
20000229;47;48,97;46,49;47,51;424162
20000228;45,65;47;45,31;46,62;262292
20000225;46;46,4;44,9;45,99;357714
20000224;46,01;46,85;44,1;45,05;781347
20000223;47,11;47,59;46,21;46,6;475572
20000222;47,35;49;46,6;46,81;1038586
20000221;45;47,7;44,99;46,6;1010875
20000218;44,35;45,9;43,5;43,97;940051
20000217;42;43,94;41,01;43,55;726310
20000216;43,05;44,36;40,55;41,35;996566
20000215;43,2;45,03;42,11;42,11;618240
20000214;45;45,11;42,5;43,8;979401
20000211;46,9;47,4;43,51;44,99;1056650
20000210;46;47,05;45,9;46,6;571442
20000209;46,15;47,1;45,3;46,5;1130989
20000208;47,81;48,4;46,5;46,61;425711
20000207;49;49,5;47,8;47,81;268141
20000204;47,9;50;47,9;50;474928
20000203;48,2;50,85;47,11;48;919107
20000202;47,95;48,52;47;47,69;476996
20000201;48,36;48,99;47,1;47,81;504976
20000131;50,25;50,34;48,25;48,35;715313
20000128;50,5;51,7;49,11;51,7;314604
20000127;50,87;51,4;48,75;50,85;387264
20000126;50,85;51,4;50,35;50,72;332165
20000125;51,5;52;50,45;50,8;384540
20000124;51,6;52,58;51,02;51,05;382895
20000121;51,5;52,6;51,5;51,5;491425
20000120;51;52,65;50,78;52,08;586322
20000119;51;51,8;50,61;50,61;519014
20000118;52,3;52,5;50,55;51,11;491552
20000117;53,55;53,55;52,1;52,1;452578
20000114;54,75;55;51,8;53;636912
20000113;54,32;55,88;54,21;54,95;409840
20000112;54,54;55,32;54,26;54,5;405030
20000111;55,5;55,5;54,12;54,6;383772
20000110;55,05;56,25;54,44;55,28;981818
20000107;53,9;54,88;53,06;54,76;661661
20000106;52,55;54,5;52,45;53,02;353360
20000105;52;54,85;51,53;52,42;547589
20000104;52,91;54,68;52,3;52,8;542879
20000103;58,25;58,5;51,87;52,25;860595
